face_amount,company,plan_name,tier_name,monthly,yearly,state,gender,age,term_years,tobacco
25000,American Amicable (Easy Term),Easy Term 10-Year,Approved,21.83,232.25,IL,Female,60,10,None
25000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,25.46,296.00,IL,Female,60,10,None
25000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,25.95,305.25,IL,Female,60,10,None
25000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,26.06,292.75,IL,Female,60,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,31.14,346.00,IL,Female,60,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,33.93,377.00,IL,Female,60,10,None
50000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,35.44,405.00,IL,Female,60,10,None
50000,American Amicable (Easy Term),Easy Term 10-Year,Approved,38.02,404.50,IL,Female,60,10,None
50000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,45.75,532.00,IL,Female,60,10,None
50000,Kansas City Life,Signature Term Express 10-Year,Approved,46.75,546.50,IL,Female,60,10,None
50000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,46.77,525.50,IL,Female,60,10,None
50000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,46.79,550.50,IL,Female,60,10,None
50000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,47.78,546.00,IL,Female,60,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,43.56,484.00,IL,Female,60,10,None
75000,American Amicable (Easy Term),Easy Term 10-Year,Approved,45.76,486.75,IL,Female,60,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,47.75,530.50,IL,Female,60,10,None
75000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,50.09,572.50,IL,Female,60,10,None
75000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,66.05,768.00,IL,Female,60,10,None
75000,Kansas City Life,Signature Term Express 10-Year,Approved,67.43,789.75,IL,Female,60,10,None
75000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,67.48,758.25,IL,Female,60,10,None
75000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,67.64,795.75,IL,Female,60,10,None
75000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,69.04,789.00,IL,Female,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred Plus,Trendsetter Super 2021,36.81,433.00,IL,Female,60,10,None
100000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Preferred,Trendsetter Super 2021,38.59,454.00,IL,Female,60,10,None
100000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Preferred,Trendsetter LB 2017,44.03,512.00,IL,Female,60,10,None
