face_amount,company,plan_name,tier_name,monthly,yearly,state,gender,age,term_years,tobacco
25000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,18.51,217.75,IL,Male,55,10,None
25000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,21.78,253.25,IL,Male,55,10,None
25000,American Amicable (Easy Term),Easy Term 10-Year,Approved,24.49,260.50,IL,Male,55,10,None
25000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,26.48,297.50,IL,Male,55,10,None
50000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,31.92,375.50,IL,Male,55,10,None
50000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,32.73,374.00,IL,Male,55,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,34.97,388.50,IL,Male,55,10,None
50000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,38.12,423.50,IL,Male,55,10,None
50000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,38.40,446.50,IL,Male,55,10,None
50000,American Amicable (Easy Term),Easy Term 10-Year,Approved,43.33,461.00,IL,Male,55,10,None
50000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,43.49,497.00,IL,Male,55,10,None
50000,Kansas City Life,Signature Term Express 10-Year,Approved,47.60,556.50,IL,Male,55,10,None
50000,Mutual of Omaha (Term Life Express),Term Life Express 10-Year,Approved,47.62,535.00,IL,Male,55,10,None
75000,Transamerica (Trendsetter Super 2021),Trendsetter Super 2021 10-Year Standard,Trendsetter Super 2021,45.33,533.25,IL,Male,55,10,None
75000,Foresters (Your Term),Your Term 10-Year Non-Med,Approved,46.03,526.00,IL,Male,55,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Preferred 10-Year,Preferred,49.30,547.75,IL,Male,55,10,None
75000,American Amicable (Easy Term),Easy Term 10-Year,Approved,52.38,557.25,IL,Male,55,10,None
75000,American Amicable (Term Made Simple),Term Made Simple Standard 10-Year,Standard,54.02,600.25,IL,Male,55,10,None
75000,Transamerica (Trendsetter LB 2017),Trendsetter LB 2017 10-Year Standard,Trendsetter LB 2017,55.02,639.75,IL,Male,55,10,None
75000,Foresters (Strong Foundation),Strong Foundation 10-Year,Approved,62.61,715.50,IL,Male,55,10,None
75000,Kansas City Life,Signature Term Express 10-Year,Approved,68.70,804.75,IL,Male,55,10,None
